parent_node_id	current_node_id	parent_accs	current_node_accs	parent_node_param_string	current_node_param_string	is_gt
0	4	[0.62, 0.62, 0.61, 0.63, 0.6, 0.6, 0.62, 0.61, 0.66, 0.61]	[0.67, 0.68, 0.69, 0.69, 0.7, 0.7, 0.68, 0.68, 0.68, 0.7]	act1=relu,act2=hard_sigmoid,act3=relu,act4=relu,act5=relu,act6=softmax,batch_size=64,bi1=zeros,bi2=zeros,bi3=zeros,bi4=zeros,bi5=zeros,bi6=zeros,epochs=50,ki1=glorot_uniform,ki2=glorot_uniform,ki3=glorot_uniform,ki4=glorot_uniform,ki5=glorot_uniform,ki6=glorot_uniform,layer1=1,layer2=1,loss=sparse_categorical_crossentropy,lr=0.001,optimizer=adam,unit1=256,unit2=128	act1=relu,act2=relu,act3=relu,act4=relu,act5=relu,act6=softmax,batch_size=64,bi1=zeros,bi2=zeros,bi3=zeros,bi4=zeros,bi5=zeros,bi6=zeros,epochs=50,ki1=glorot_uniform,ki2=glorot_uniform,ki3=glorot_uniform,ki4=glorot_uniform,ki5=glorot_uniform,ki6=glorot_uniform,layer1=1,layer2=1,loss=sparse_categorical_crossentropy,lr=0.001,optimizer=adam,unit1=256,unit2=128	False
0	8	[0.62, 0.62, 0.61, 0.63, 0.6, 0.6, 0.62, 0.61, 0.66, 0.61]	[0.66, 0.65, 0.66, 0.67, 0.65, 0.68, 0.67, 0.68, 0.65, 0.66]	act1=relu,act2=hard_sigmoid,act3=relu,act4=relu,act5=relu,act6=softmax,batch_size=64,bi1=zeros,bi2=zeros,bi3=zeros,bi4=zeros,bi5=zeros,bi6=zeros,epochs=50,ki1=glorot_uniform,ki2=glorot_uniform,ki3=glorot_uniform,ki4=glorot_uniform,ki5=glorot_uniform,ki6=glorot_uniform,layer1=1,layer2=1,loss=sparse_categorical_crossentropy,lr=0.001,optimizer=adam,unit1=256,unit2=128	act1=relu,act2=hard_sigmoid,act3=sigmoid,act4=relu,act5=relu,act6=softmax,batch_size=64,bi1=zeros,bi2=zeros,bi3=zeros,bi4=zeros,bi5=zeros,bi6=zeros,epochs=50,ki1=glorot_uniform,ki2=glorot_uniform,ki3=glorot_uniform,ki4=glorot_uniform,ki5=glorot_uniform,ki6=glorot_uniform,layer1=1,layer2=1,loss=sparse_categorical_crossentropy,lr=0.001,optimizer=adam,unit1=256,unit2=128	False
0	9	[0.62, 0.62, 0.61, 0.63, 0.6, 0.6, 0.62, 0.61, 0.66, 0.61]	[0.68, 0.66, 0.64, 0.66, 0.67, 0.65, 0.67, 0.66, 0.68, 0.65]	act1=relu,act2=hard_sigmoid,act3=relu,act4=relu,act5=relu,act6=softmax,batch_size=64,bi1=zeros,bi2=zeros,bi3=zeros,bi4=zeros,bi5=zeros,bi6=zeros,epochs=50,ki1=glorot_uniform,ki2=glorot_uniform,ki3=glorot_uniform,ki4=glorot_uniform,ki5=glorot_uniform,ki6=glorot_uniform,layer1=1,layer2=1,loss=sparse_categorical_crossentropy,lr=0.001,optimizer=adam,unit1=256,unit2=128	act1=relu,act2=hard_sigmoid,act3=exponential,act4=relu,act5=relu,act6=softmax,batch_size=64,bi1=zeros,bi2=zeros,bi3=zeros,bi4=zeros,bi5=zeros,bi6=zeros,epochs=50,ki1=glorot_uniform,ki2=glorot_uniform,ki3=glorot_uniform,ki4=glorot_uniform,ki5=glorot_uniform,ki6=glorot_uniform,layer1=1,layer2=1,loss=sparse_categorical_crossentropy,lr=0.001,optimizer=adam,unit1=256,unit2=128	False
0	84	[0.62, 0.62, 0.61, 0.63, 0.6, 0.6, 0.62, 0.61, 0.66, 0.61]	[0.63, 0.67, 0.68, 0.67, 0.69, 0.65, 0.64, 0.67, 0.67, 0.63]	act1=relu,act2=hard_sigmoid,act3=relu,act4=relu,act5=relu,act6=softmax,batch_size=64,bi1=zeros,bi2=zeros,bi3=zeros,bi4=zeros,bi5=zeros,bi6=zeros,epochs=50,ki1=glorot_uniform,ki2=glorot_uniform,ki3=glorot_uniform,ki4=glorot_uniform,ki5=glorot_uniform,ki6=glorot_uniform,layer1=1,layer2=1,loss=sparse_categorical_crossentropy,lr=0.001,optimizer=adam,unit1=256,unit2=128	act1=relu,act2=hard_sigmoid,act3=relu,act4=relu,act5=relu,act6=softmax,batch_size=64,bi1=zeros,bi2=zeros,bi3=zeros,bi4=zeros,bi5=zeros,bi6=zeros,epochs=50,ki1=glorot_uniform,ki2=glorot_uniform,ki3=glorot_uniform,ki4=glorot_uniform,ki5=glorot_uniform,ki6=glorot_uniform,layer1=0,layer2=1,loss=sparse_categorical_crossentropy,lr=0.001,optimizer=adam,unit1=256,unit2=128	False
0	56	[0.62, 0.62, 0.61, 0.63, 0.6, 0.6, 0.62, 0.61, 0.66, 0.61]	[0.67, 0.64, 0.66, 0.64, 0.66, 0.66, 0.64, 0.67, 0.67, 0.66]	act1=relu,act2=hard_sigmoid,act3=relu,act4=relu,act5=relu,act6=softmax,batch_size=64,bi1=zeros,bi2=zeros,bi3=zeros,bi4=zeros,bi5=zeros,bi6=zeros,epochs=50,ki1=glorot_uniform,ki2=glorot_uniform,ki3=glorot_uniform,ki4=glorot_uniform,ki5=glorot_uniform,ki6=glorot_uniform,layer1=1,layer2=1,loss=sparse_categorical_crossentropy,lr=0.001,optimizer=adam,unit1=256,unit2=128	act1=relu,act2=hard_sigmoid,act3=relu,act4=relu,act5=relu,act6=softmax,batch_size=64,bi1=zeros,bi2=zeros,bi3=zeros,bi4=zeros,bi5=zeros,bi6=zeros,epochs=50,ki1=glorot_uniform,ki2=glorot_uniform,ki3=glorot_uniform,ki4=glorot_uniform,ki5=glorot_uniform,ki6=glorot_uniform,layer1=1,layer2=1,loss=sparse_categorical_crossentropy,lr=0.001,optimizer=adamax,unit1=256,unit2=128	False
4	140	[0.67, 0.68, 0.69, 0.69, 0.7, 0.7, 0.68, 0.68, 0.68, 0.7]	[0.71, 0.71, 0.72, 0.71, 0.7, 0.69, 0.69, 0.69, 0.71, 0.7]	act1=relu,act2=relu,act3=relu,act4=relu,act5=relu,act6=softmax,batch_size=64,bi1=zeros,bi2=zeros,bi3=zeros,bi4=zeros,bi5=zeros,bi6=zeros,epochs=50,ki1=glorot_uniform,ki2=glorot_uniform,ki3=glorot_uniform,ki4=glorot_uniform,ki5=glorot_uniform,ki6=glorot_uniform,layer1=1,layer2=1,loss=sparse_categorical_crossentropy,lr=0.001,optimizer=adam,unit1=256,unit2=128	act1=relu,act2=relu,act3=relu,act4=relu,act5=relu,act6=softmax,batch_size=64,bi1=zeros,bi2=zeros,bi3=zeros,bi4=zeros,bi5=zeros,bi6=zeros,epochs=50,ki1=glorot_uniform,ki2=glorot_uniform,ki3=glorot_uniform,ki4=glorot_uniform,ki5=glorot_uniform,ki6=glorot_uniform,layer1=1,layer2=1,loss=sparse_categorical_crossentropy,lr=0.001,optimizer=nadam,unit1=256,unit2=128	True
4	139	[0.67, 0.68, 0.69, 0.69, 0.7, 0.7, 0.68, 0.68, 0.68, 0.7]	[0.7, 0.7, 0.7, 0.69, 0.7, 0.71, 0.7, 0.72, 0.7, 0.7]	act1=relu,act2=relu,act3=relu,act4=relu,act5=relu,act6=softmax,batch_size=64,bi1=zeros,bi2=zeros,bi3=zeros,bi4=zeros,bi5=zeros,bi6=zeros,epochs=50,ki1=glorot_uniform,ki2=glorot_uniform,ki3=glorot_uniform,ki4=glorot_uniform,ki5=glorot_uniform,ki6=glorot_uniform,layer1=1,layer2=1,loss=sparse_categorical_crossentropy,lr=0.001,optimizer=adam,unit1=256,unit2=128	act1=relu,act2=relu,act3=relu,act4=relu,act5=relu,act6=softmax,batch_size=64,bi1=zeros,bi2=zeros,bi3=zeros,bi4=zeros,bi5=zeros,bi6=zeros,epochs=50,ki1=glorot_uniform,ki2=glorot_uniform,ki3=glorot_uniform,ki4=glorot_uniform,ki5=glorot_uniform,ki6=glorot_uniform,layer1=1,layer2=1,loss=sparse_categorical_crossentropy,lr=0.001,optimizer=adamax,unit1=256,unit2=128	True
4	163	[0.67, 0.68, 0.69, 0.69, 0.7, 0.7, 0.68, 0.68, 0.68, 0.7]	[0.68, 0.68, 0.72, 0.69, 0.71, 0.72, 0.7, 0.7, 0.7, 0.7]	act1=relu,act2=relu,act3=relu,act4=relu,act5=relu,act6=softmax,batch_size=64,bi1=zeros,bi2=zeros,bi3=zeros,bi4=zeros,bi5=zeros,bi6=zeros,epochs=50,ki1=glorot_uniform,ki2=glorot_uniform,ki3=glorot_uniform,ki4=glorot_uniform,ki5=glorot_uniform,ki6=glorot_uniform,layer1=1,layer2=1,loss=sparse_categorical_crossentropy,lr=0.001,optimizer=adam,unit1=256,unit2=128	act1=relu,act2=relu,act3=relu,act4=relu,act5=relu,act6=softmax,batch_size=64,bi1=zeros,bi2=zeros,bi3=zeros,bi4=zeros,bi5=zeros,bi6=zeros,epochs=50,ki1=glorot_uniform,ki2=glorot_uniform,ki3=glorot_uniform,ki4=glorot_uniform,ki5=glorot_uniform,ki6=glorot_uniform,layer1=1,layer2=1,loss=sparse_categorical_crossentropy,lr=0.001,optimizer=adam,unit1=512,unit2=128	True
4	146	[0.67, 0.68, 0.69, 0.69, 0.7, 0.7, 0.68, 0.68, 0.68, 0.7]	[0.7, 0.69, 0.71, 0.71, 0.7, 0.7, 0.7, 0.71, 0.69, 0.68]	act1=relu,act2=relu,act3=relu,act4=relu,act5=relu,act6=softmax,batch_size=64,bi1=zeros,bi2=zeros,bi3=zeros,bi4=zeros,bi5=zeros,bi6=zeros,epochs=50,ki1=glorot_uniform,ki2=glorot_uniform,ki3=glorot_uniform,ki4=glorot_uniform,ki5=glorot_uniform,ki6=glorot_uniform,layer1=1,layer2=1,loss=sparse_categorical_crossentropy,lr=0.001,optimizer=adam,unit1=256,unit2=128	act1=relu,act2=relu,act3=relu,act4=relu,act5=relu,act6=softmax,batch_size=128,bi1=zeros,bi2=zeros,bi3=zeros,bi4=zeros,bi5=zeros,bi6=zeros,epochs=50,ki1=glorot_uniform,ki2=glorot_uniform,ki3=glorot_uniform,ki4=glorot_uniform,ki5=glorot_uniform,ki6=glorot_uniform,layer1=1,layer2=1,loss=sparse_categorical_crossentropy,lr=0.001,optimizer=adam,unit1=256,unit2=128	True
4	132	[0.67, 0.68, 0.69, 0.69, 0.7, 0.7, 0.68, 0.68, 0.68, 0.7]	[0.7, 0.69, 0.7, 0.71, 0.7, 0.7, 0.7, 0.69, 0.7, 0.69]	act1=relu,act2=relu,act3=relu,act4=relu,act5=relu,act6=softmax,batch_size=64,bi1=zeros,bi2=zeros,bi3=zeros,bi4=zeros,bi5=zeros,bi6=zeros,epochs=50,ki1=glorot_uniform,ki2=glorot_uniform,ki3=glorot_uniform,ki4=glorot_uniform,ki5=glorot_uniform,ki6=glorot_uniform,layer1=1,layer2=1,loss=sparse_categorical_crossentropy,lr=0.001,optimizer=adam,unit1=256,unit2=128	act1=relu,act2=relu,act3=relu,act4=relu,act5=relu,act6=softmax,batch_size=64,bi1=zeros,bi2=zeros,bi3=zeros,bi4=zeros,bi5=random_normal,bi6=zeros,epochs=50,ki1=glorot_uniform,ki2=glorot_uniform,ki3=glorot_uniform,ki4=glorot_uniform,ki5=glorot_uniform,ki6=glorot_uniform,layer1=1,layer2=1,loss=sparse_categorical_crossentropy,lr=0.001,optimizer=adam,unit1=256,unit2=128	True
8	186	[0.66, 0.65, 0.66, 0.67, 0.65, 0.68, 0.67, 0.68, 0.65, 0.66]	[0.69, 0.68, 0.68, 0.66, 0.69, 0.69, 0.67, 0.69, 0.69, 0.69]	act1=relu,act2=hard_sigmoid,act3=sigmoid,act4=relu,act5=relu,act6=softmax,batch_size=64,bi1=zeros,bi2=zeros,bi3=zeros,bi4=zeros,bi5=zeros,bi6=zeros,epochs=50,ki1=glorot_uniform,ki2=glorot_uniform,ki3=glorot_uniform,ki4=glorot_uniform,ki5=glorot_uniform,ki6=glorot_uniform,layer1=1,layer2=1,loss=sparse_categorical_crossentropy,lr=0.001,optimizer=adam,unit1=256,unit2=128	act1=relu,act2=hard_sigmoid,act3=sigmoid,act4=relu,act5=relu,act6=softmax,batch_size=64,bi1=zeros,bi2=zeros,bi3=zeros,bi4=zeros,bi5=zeros,bi6=zeros,epochs=50,ki1=he_normal,ki2=glorot_uniform,ki3=glorot_uniform,ki4=glorot_uniform,ki5=glorot_uniform,ki6=glorot_uniform,layer1=1,layer2=1,loss=sparse_categorical_crossentropy,lr=0.001,optimizer=adam,unit1=256,unit2=128	False
8	177	[0.66, 0.65, 0.66, 0.67, 0.65, 0.68, 0.67, 0.68, 0.65, 0.66]	[0.67, 0.68, 0.66, 0.67, 0.66, 0.7, 0.68, 0.69, 0.67, 0.7]	act1=relu,act2=hard_sigmoid,act3=sigmoid,act4=relu,act5=relu,act6=softmax,batch_size=64,bi1=zeros,bi2=zeros,bi3=zeros,bi4=zeros,bi5=zeros,bi6=zeros,epochs=50,ki1=glorot_uniform,ki2=glorot_uniform,ki3=glorot_uniform,ki4=glorot_uniform,ki5=glorot_uniform,ki6=glorot_uniform,layer1=1,layer2=1,loss=sparse_categorical_crossentropy,lr=0.001,optimizer=adam,unit1=256,unit2=128	act1=relu,act2=hard_sigmoid,act3=sigmoid,act4=sigmoid,act5=relu,act6=softmax,batch_size=64,bi1=zeros,bi2=zeros,bi3=zeros,bi4=zeros,bi5=zeros,bi6=zeros,epochs=50,ki1=glorot_uniform,ki2=glorot_uniform,ki3=glorot_uniform,ki4=glorot_uniform,ki5=glorot_uniform,ki6=glorot_uniform,layer1=1,layer2=1,loss=sparse_categorical_crossentropy,lr=0.001,optimizer=adam,unit1=256,unit2=128	False
8	233	[0.66, 0.65, 0.66, 0.67, 0.65, 0.68, 0.67, 0.68, 0.65, 0.66]	[0.67, 0.67, 0.67, 0.68, 0.66, 0.69, 0.68, 0.67, 0.68, 0.67]	act1=relu,act2=hard_sigmoid,act3=sigmoid,act4=relu,act5=relu,act6=softmax,batch_size=64,bi1=zeros,bi2=zeros,bi3=zeros,bi4=zeros,bi5=zeros,bi6=zeros,epochs=50,ki1=glorot_uniform,ki2=glorot_uniform,ki3=glorot_uniform,ki4=glorot_uniform,ki5=glorot_uniform,ki6=glorot_uniform,layer1=1,layer2=1,loss=sparse_categorical_crossentropy,lr=0.001,optimizer=adam,unit1=256,unit2=128	act1=relu,act2=hard_sigmoid,act3=sigmoid,act4=relu,act5=relu,act6=softmax,batch_size=64,bi1=zeros,bi2=zeros,bi3=zeros,bi4=zeros,bi5=zeros,bi6=zeros,epochs=25,ki1=glorot_uniform,ki2=glorot_uniform,ki3=glorot_uniform,ki4=glorot_uniform,ki5=glorot_uniform,ki6=glorot_uniform,layer1=1,layer2=1,loss=sparse_categorical_crossentropy,lr=0.001,optimizer=adam,unit1=256,unit2=128	False
